pattern,pilot
N,annotations
N N,emotion recognition
A N,emotional recognition
A N N,speech-based emotion recognition
A N N,automated emotion recognition
N N N,speech emotion recognition
N N N,emotion recognition system
A N N,uncompensated emotion recognition
A N N,automatic emotion recognition
N N N,emotion recognition method
N N N,emotion recognition task
N,corpus
N,vector
N,dataset
N N,data set
N,classifier
N,algorithm
N,annotators
A N,neutral speech
A C A N,neutral and emotional speech
A C A N,emotional and neutral speech
A N P N,neutral speech of a speaker
N,valence
A N,emotional speech
N N,feature vector
N N N,feature vector quantization
A N N,37-dimensional feature vector
N N,emotion detection
N N N,emotion cause detection
N N N,emotion detection experiments
N N N,emotion detection models
A N N,automatic emotion detection
N N,emotion extraction
N N N,Emotion cause extraction
N N N,emotion extraction task
A N,basic emotions
N,EmoDS
N N,speech signal
N N N,speech signal features
N,hashtags
N N,emotion category
A N,emotional categories
N N,gender detection
A N N,automatic gender detection
N N,emotion classification
N N N,emotion classification method
N N,emotion intensity
N C N P N,intensity or degree of emotion
N N,emotion annotations
N N,excitation source
N N N,excitation source information
N N N,excitation source component
N N N,excitation source features
N N,target terms
N,arousal
N N,training data
N N,dialogue systems
A N N,interactive dialogue system
A N N,emotional dialogue system
A N N,vocal tract system
N N,word embeddings
N N N,word embeddings models
N,MFCC
N,recognizer
A N,primary emotions
N,polarity
N,subset
N N,feature set
N,realization
A N,emotional words
A A N,strong emotional words
N,LSTM
N N,affect lexicons
N N N,WordNet Affect Lexicon
N,behavior
N,datasets
N N,recognition system
A,binary
A N,shared task
N N,seed words
N N N,Seed Word Selection
N N,recognition rate
A N N,class-wise recognition rate
A N N,average recognition rate
N N,feature extraction
N N,feature selection
N N N,feature selection technique
N N,extraction task
A N,experimental results
A N N N,gender-independent emotion recognition system
A N N N,basic emotion recognition system
N N,seed lexicon
A N N,full seed lexicon
A N N,limited seed lexicons
N N,test set
N N,emotion expressions
A N,emotional expression
A N N,non-verbal emotion expressions
A N N,complicated emotion expressions
A N,automatic evaluation
A C A N,automatic and human evaluations
N,formant
A,seq2seq
N N,ECPE task
N N,query term
N N N,Hashtag Query Term
N N,emotion classes
A N,emotional classes
N N,emotion-cause pair
N N N,emotion-cause pair extraction
A N,hidden state
A A N,previous hidden state
N,LPCC
N,Inter-EC
N,multi-task
N N,multi-label task
N P N,intensity of emotion
N N,emotion corpus
N N N,emotion cause corpus
A N N,context-based emotion corpus
A N,Mechanical Turk
N,Turkers
N,COHA
N,LFPC
N N,training set
A N N,limited train set
N N N,Training set size
A N,selected features
A N,future work
N N,emotion classifier
A N N,sequence-level emotion classifier
A N,human evaluation
N,Inter-CE
N,GRNNs
A N,distant supervision
N N,emotion labels
A N,emotional labels
N P A N,label of non-verbal emotion
N N,emotion types
N N,emotion model
A N N,PNN-based emotion model
N,BLEU
N N,compensation transformation
A N N,nonlinear compensation transformation
N N,intensity scores
A N N,gold intensity scores
N N,AANN models
N N,time step
N N,gender information
A N N,correct gender information
A N,relevant features
N,SVDPPMI
A N,Linear Prediction
A,discrete
N,amplitude
A N,deep learning
N N N,word emotion induction
N,bigrams
N,unigrams
N N,recognition accuracy
N P N N,accuracy of the emotion recognition
A N,non-verbal channels
N,decoder
N,readability
N N,generation process
N N N,response generation process
N N,ground truth
N N,emotion analysis
N N,feature groups
A N,semantic orientation
A A N,negative semantic orientation
A A N,positive semantic orientation
N N,emotion lexicon
A N N,external emotion lexicon
A N,historical language
N,keywords
A N,generative models
A N,lexicon-based attention
A N,human judge
N N,sentiment analysis
N N,response generation
A N,outer set
A A N,intermediate outer set
A N N,natural language generation
R,non-verbally
N,setup
A,pre-trained
N,feeler
N,MFCCs
N N,feature engineering
N N,development set
N,HMMs
N N,gold standard
A N N,historical gold standard
N N,dialogue manager
N N,emotion dimensions
A N N,primary emotion dimensions
N N,input post
A N,General Inquirer
N N,attention mechanism
A N N,lexicon-based attention mechanism
A N,emotional meaning
A N,emotional shade
N A N,default emotional shades
A N,seq2seq framework
N N,classification tasks
N N,emotion processing
N N,majority class
N N,evaluation model
A N N,automatic evaluation model
N C N N,extraction and cause extraction
N,encoder
N,activation
N N,classification accuracy
A A N,recurrent neural networks
N N,emotion keyword
N,Chatbot
N N,head words
N P N,set of emotion
N N,emotion set
N P A N,set of basic emotions
A,observed
A,4-tuple
A N,specific emotion
A,gender-independent
A N,F1 score
N,tuples
A N N N,vocal tract system information
A,sequential
N N N,word choice question
N N,Pearson correlation
N N,emotion score
N N,recognition results
N N N,recognition accuracy results
N,adverbs
A N,prosodic features
A A N,Conventional Prosodic Features
A N,conversational agents
N,validation
N N,emotion clause
N N,speech features
A N N,selected speech features
A N,spatial relations
N N,compression layer
N,dialog
N N,machine translation
A N N,neural machine translation
A,supervised
N,SGNS
N N,speech recognition
N A N,Speech Emotional Recognition
A N N,automatic speech recognition
N P N,state of the speaker
A N P N,emotional state of a speaker
A,discriminative
N N,intensity level
N N,LP residual
A,numerical
N N,induction algorithms
N N N,lexicon induction algorithms
N N,thesaurus category
A N,lexical item
N,residual
N N,test data
A N,human judgment
N N,emotion hashtags
N,lexicon
N N,case frame
A,synchronic
A N,empirical study
A N,human annotations
A N N,non-verbal communication channels
N,Affective Tweets
A N,contextual information
N,CECG
N N,emotion definition
A,evaluative
N N,body movements
N N,language stages
A N N,historical language stages
A N,average accuracy
N P N,theory of emotion
N N,emotion theories
A N P N,psychological theory of emotion
N,PARASIMNUM
N,EASC
N N,regression model
N N,vector quantization
N,Emo-prepend
N,GCIs
N,regularization
N N,sentence planning
A N,acoustic features
A N,hidden layers
A N,bestñworst scaling
N,Bi-LSTM
N N,evaluation period
N N,output layer
A N,explicit emotions
N,preprocessing
A N,native speakers
A N,semantic frame
A N,emotional sentences
N,epochs
N,4-tuples
N,sub-tasks
N N,word vectors
N N,text-to-speech synthesis
N,Bravo-Marquez
A N N N,neutral speech AANN models
N N,emotion representation
N N,emotion feature
A,384-dimensional
N N,pilot experiments
N,prosody
A N,physical sensations
N N,output probability
N N,dialog systems
N,subcorpus
N,MOGA
A N N,traditional ECE task
A N,baseline model
N N,Multi-task Learning
N N,emotion information
A N,emotional information
A N,fine-grained emotions
A N,Individual Emotion
N N,annotation study
N,iterations
N,dropout
A A N,Convolutional Neural Network
N,perplexity
N N,sentiment scores
N N,classification problem
A N N,binary classification problem
N N,machine learning
A N N,text-based emotion prediction
A N,genetic algorithm
N A N,Multi-Criteria Genetic Algorithm
A A N,multi-objective genetic algorithm
A N,final position
A N,relative improvement
N N,classification term
N N N,emotion classification term
N N,test utterance
A C A N,male and female emotions
N P N N,sets of seed words
A N N N,vocal tract system component
A N,meaningful responses
N,LPCs
N N,multi-label problem
N N,word similarity
N C N N,emotion and sentiment recognition
N P N,attitude of the speaker
A N P N,emotional attitudes of the speaker
A N,binary classification
A N,emotional attitude
A N,random sample
N N,amplitude power
A N N,average amplitude power
A N,contemporary language
A N,Pareto set
N P N,order of magnitude
N N,emotion studies
N P N,types of emotions
A N P N,fine-grained types of emotions
N N,VAD dimensions
N N,recombination types
A,hierarchical
A N,automated metrics
A N,automatic emotion
A,best-worst
N,chatbots
A N,discrete categories
N P N,annotation of emotion
N P A N,database of emotional speech
N,tuple
N N,dialogue dataset
A N N,Empathetic Dialogue dataset
N,RastaPLP
N P N,degree of emotion
A N,dependent view
A N,independent view
A,categorical
N N,recognition method
N N,processing time
A,nonlinear
N N,emotion prediction
N N,NLP applications
A N N,practical NLP applications
N N,annotation project
N N N,data annotation project
N N,LP model
N P N,quality of annotations
A N,emotional connotations
N N,input sentence
N N,word n-grams
N N,parameter tuning
N,quartile
A N,37-dimensional feature
A N,lexical content
N N,valence emotions
A N,open domain
N N,recall rate
A A N,stochastic gradient descent
A A N N,Convolutional Neural Network model
A N,compositional representation
A N,baseline system
N N,Classification results
N N N,emotion speech database
A N N,emotional speech database
N N,speech characteristics
A,boolean
N N N,Naïve Bayes classifier
A N,neutral words
N N,world model
A,predictive
N V A,word is closest
N N,development data
R,empirically
A N N,automatic storytelling systems
A N,weighted sum
A N P N,weighted sum of embeddings
N P N,kinds of emotion
N,EmoEmb
N P N N,channels of emotion expressions
N V A,reply is preferred
N N,Micro F1
A N,lower layer
A N,random forest
N,CNNs
N N,Macro F1
N N,BOW approach
A A N N,simple content BOW approach
N N,softmax layer
N,reproducibility
A N,human annotators
N N,evaluation method
A N,forward selection
A,non-emotional
N,mapping
N,hearers
N N,emotion vector
N,fitness-values
N P N,parts of speech
A N,maximum pitch
A,uncompensated
A,speaker-specific
A N,glottal closure
A N N,natural language processing
N N N,support vector machine
A N,psychological theory
N N,regression algorithms
N P N,percentage of times
N C N N,arm and hand gesture
A N,affective norms
A N,emotional distance
A N,fundamental frequency
N,RNNs
A,attitudinal
N,SAVEE
N N,vocabulary size
N C N N,gender and emotion recognition
N,RANDOMWALKNUM
A N,random walk
N,RMDS
N N,speech rate
N N,speech segments
A N N,pretrained language models
A N,neutral sentences
N,requester
N,derivations
N N,likelihood probability
N P N,result of the experiments
N N,judgment model
A N,clause-level Bi-LSTM
A N,raw audio
N,interjections
A N N,high SNR regions
A,semantic
A N,emotional utterances
A,fine-tuned
N N,generation system
N N N,language generation systems
A,Inter-EC-Bound
N P N,model of emotions
A N P N,categorical model of emotions
N,F-score
A N,emotional responses
A N N N,natural language generation systems
A N P N,Semantic orientation of words
A N,negative sampling
A N,Cartesian product
A A N,exact textual positions
A N N,highest recognition rate
A N,sequential model
A N,Computational Linguistics
A N N,full test set
N N,voting results
A N N,human voting results
N A N,energy related features
N N,precision score
N N,language period
N N,LPCC components
N N,feature space
A N,diachronic experiments
N N,PLP coefficients
R,temporally
N N,extraction performance
N P N N,performance of emotion extraction
N N,Mel frequency
A N,original dataset
A N,standard deviation
N,subtype
N N,LFPC components
A N,enumerative representation
N,heatmap
N,CGMM
N N,multi-label classification
N N,log energy
N N,SVDPPMI embeddings
A A N N,large pretrained language models
A N A N,Linear Prediction Cepstral Coefficients
A N N,benchmark ECE corpus
N P N,distribution of emotions
N N,emotion distribution
N N,affect categories
A N,main contribution
A,spectral
A N,engaging responses
A C A N,explicit or implicit manner
A N,affective meaning
A N,Alternative approaches
A N,situational context
A N,linguistic analysis
A A N,in-depth linguistic analysis
N N,real-world scenarios
N P N N,predictions of emotion extraction
N N,globe features
N,Bestgen
N C A N,source and vocal tract
N N,sentence level
A N,cross-entropy error
A N N,virtual training environment
N,evaluators
A N,human subjects
N N,VAD lexicon
A N,subjective nature
N P N,descriptions of characters
A N N,causal relation detection
N N,character emotions
A N,dynamic range
N N,word sense
A N,negative seed
N P N,recognition of emotions
A N P N,automated recognition of emotions
A N,artificial intelligence
A N,diachronic corpora
N N N,emotion detection system
A,nonverbal
N N,error plots
A N,emotional variations
A N,present study
A A N,average different rate
A A N,Autoassociative Neural Network
N,LIWC
N P N N,feasibility of the ECPE task
N N,character n-grams
N P N,results of emotion
N N,correlation scores
N,helplessness
N N,input frame
N,summarization
N N,dialogue evaluation
A C A N,dull and generic responses
A N N,female emotion recognizer
N N,input vector
A A N,raw audio samples
N N,arousal dimension
A N N,automatic evaluation tool
A N,spontaneous emotions
N N,generation loss
N N,language modeling
N N,energy contours
N,loudness
N N,multi-label models
N N N,emotion recognition performance
N,emojis
N N,time span
A N,human ratings
A N,historical emotion
N,F0rate
N N,master set
N N,user emotion
N,artifacts
N N,production rules
N P A N,intensity of emotional expression
N N,sentiment classification
N N,user satisfaction
N A N,LOO cross-validation method
N N,LP analysis
A A N,neutral emotional state
N P N,context of an emotion
A N,physical make-up
N P N N,set of cause clauses
A N,common emotion
N N,NLP tasks
N P A N,effort of human evaluation
N N,sentiment information
A N N,historical sentiment information
A N,lexical graph
A N,strict pipeline
N N N N,emotion cause detection system
A,unsupervised
A N,spectral features
N P N,classification of emotions
N N,Naïve Bayes
N,RBEC
N N,emotion relations
N N,attention model
N N,data analysis
A N N,functional data analysis
N P N N,element of the world model
A N,online classifiers
A N,semantic information
A N,erroneous annotations
N P N,effectiveness of language
N N,speech corpus
N N,polarity lexicons
A N,large dataset
N N,energy features
N,LSTMs
A N,upper layer
A N,linguistic features
A N P N N,non-verbal channels of emotion expressions
A N,social card
N N,channel annotations
N,wLPCCs
N N N,feature selection procedure
N N,rating scales
N P N N,regions of the speech signal
N N,decision rule
N N,truth responses
A N N,neural network architecture
A,bi-directional
A N P N,potential pairs of emotions
N,constructs
N,centroids
N N N,Spearman Rank Coefficient
N,EmoLexGI
A N,semi-supervised method
N N,speech recognizer
A N,fine-tuned models
A,probabilistic
A N N,relative classification error
A N,human speech
A,upper-case
A N,emotional tone
N N,vowel segment
A N,human references
A,non-evocative
N P N,personality of the speaker
A,text-based
N,URLs
N P N,property of interest
N N,confidence intervals
A N,historical texts
A A N N,speech-based natural language generation
N N,LPC coefficients
A,Inter-CE-Bound
N N,pitch period
A N,female speakers
A N,emotional states
A,word-level
A N,CNN model
N,hyperparameter
A,GPT-2
A N,sequence-level emotion
A N,emotional content
N N,term-emotion pair
A,cross-entropy
A N,pre-trained model
N N,inter-annotator agreement
N,TensorFlow
N,hyper-parameters
N N,ER accuracy
N N,BWS annotations
A,clause-level
N,word-emotion
N,baseline
A,cross-validation
N,emotion
N N,root node
N N,research area
A A N,simple linear classification
N N,ECE corpus
N V A,performance is consistent
N C A N,selection and backward elimination
N N,convolution layer
N C N N,interaction and emotion co-occurrences
N V A,results are consistent
N N,forest structure
A N N,neutral speech models
N P N,pair of items
N P A N,pairs of distinct items
A N,linguistic patterns
A N,linear transformation
A N,synchronic evaluation
A N N,final softmax layer
N A N,mel-frequency cepstral coefficients
A N,acoustic models
A N N,full seed set
A N,previous study
A N N,Glottal Closure Instants
A,repeating
A,Semi-natural
A N,characteristic parameters
A N,gold ratings
N N N,Long-short term memory
A N,impulse-like excitation
N N,verb count
N,same-tune-eval
N,SGNLP
N,cognition
N N,training samples
A N N,distant supervision approach
A N P N N,current state of the art approach
A N,embedding-based metrics
A N,propositional statements
A N,gender-dependent emotion
N N,emotion tag
N,VAEs
N N,NLG system
N N,Testing Corpora
A N,two-step framework
N P A N,instants of significant excitation
A N,emotional tendency
N P N,domain of children
N N,Event Analysis
A N N,original beam search
N N,background mood
N N,annotation scheme
A N,combined training
A N,major dimensions
N C N N,energy and pitch contour
N P A N,notion of basic emotions
A N,lexical resources
N P A N,quality of emotional expression
N,METEOR
N P A N,approximation of the Pareto set
N,cosine
A N,hashtagged words
A N,enhanced version
N N,emotion factor
N N,Twitter API
A N,reasonable results
N N,task settings
N P N,Results with GRNNs
A N,linguistic cues
A N N,Natural Science Foundation
A N,special tokens
A N,main categories
N,Initialization
N,microblogs
N,D-MFCC
A N,lower range
A N,EmoLexWAL rows
A N,Light area
N,subtasks
A,numeric
A N,unsupervised method
A N,non-acted emotions
A N,crucial information
A N,current data
N P N,frequency of formant
N N,classification process
A N N,gender-specific emotion recognizers
N N,focus sentence
N P A N,shade of the lexical item
A N N,individual emotion extraction
A N P N,emotional affinity of sentences
A A N,top ranking system
A N,interactive machine
N,Marsella
N P N,set of tuples
A,multi-modal
N N,noise ratio
A N,best-first search
N N P N,complexity nature of emotion
N N,adaptation interval
A N,emotional behavior
A N,consistent evaluation
A N N,distant supervision method
A N,affective contents
A N,Bi-LSTM classifier
A N N,independent clause representations
N,timespans
A,neighboring
A N P N N,larger number of affect lexicons
A N,reset gate
N N N N,log frequency power coefficients
N N,Mahadeva Prasanna
N N,feature subsystem
A N,Emotional Conversation
A A N,gold standard lexicon
N,mini-batch
A N,Base Feature
A N N N,human speech production mechanism
N N,Energy MFCC
N N,feature types
A N,384-dimensional feature
N N,MFCC coefficients
N,AdaBoost
N,integer
N N,BLEU scores
N P N N,distribution of the i-th clause
A N,supervised machine
N P N,detection of emotion
A N N,early representative work
A N,content words
A N,empathic generation
N N,body channels
N P N,window of size
A N,semantic input
N N,dropout rate
N P N,meaning of the sentences
A N,virtual agents
A N,affective responses
A N,large corpora
A N,multiple clauses
A N,statistical description
N N,Resources allocation
A N,ER performance
N N,word-context pair
N N,application area
A,delta
N N,lexicon features
N N,Problem Definition
N V A,model is preferred
N N,transition matrix
A N,simple classifier
N N P N,VAD model of emotion
N N,word polarity
A N,anonymous reviewers
N N,system developers
A N,seq2seq task
A N,average result
N N,EmoLexGI rows
N N,polarity induction
N N P N,input sequence of Model
N P A N,output of neural network
N N,rating point
A,human-like
N,subtask
A N,best correlation
N,Multi-kernel
A N N,neutral speech information
A N,automatic algorithms
A N N,historical language experts
A N P N,extensive analysis of the annotations
N N,data Test
N N,emotion perception
N N,Shimmer Accuracy
N N,plot development
A N,literary texts
N P N,entries of words
N P N,category of emotion
N N,target word
N N,validation sample
N N,classification algorithm
N N,focus clause
N N,conversation corpus
N N,Sign Test
N N N,target language stage
N P N,recognizability of emotions
A N,larger data
N V A,response is better
N V A,transformation is linear
N N,performance figures
N V A,emotion is calming
A N,average number
A N N,neutral speech data
N N,reference models
N N,speech systems
N N N,Weibo post-response pairs
N P A N,accuracy of the ER procedure
N P A N,probability with the best model
N N,emoprepend model
A N,current population
N N,MFCC Components
N P N P N,terms of the property of interest
N N N,crossover operator type
A N,lexical lists
N,Walde
N P N,dimension of word
A N,beneficial feature
N P A N,information of neutral speech
A N,nuanced emotions
N P N,emotions of the speaker
A N,important cue
A N,global guidance
N N N,target term-emotion pair
A N,out-of-core classifiers
N N,ZFF signal
A N,similar observations
N N N,extract match ratio
A N,2nd Experiment
N N,emotion modeling
N N N,ground truth responses
A A A N,Syntactic Story-related Orthographic Conjunctions
N A N,pitch synchronous analysis
A,simulated
A N,unrated word
N P A N,state of clause-level Bi-LSTM
N V A,sentence is preferred
A N N,hidden Markov model
N P N,feeler of an emotion
N N,system variants
N V A,algorithm is sensitive
N N,knowledge base
N P N N,list of cause candidates
N N,multi-label approach
A N N N,vocal tract system features
A A N N,finer emotional meaning distinctions
N N,vector representation
A N,diachronic settings
N P N,improvement of Inter-CE
N N,split-half reliability
N N,dialogue generation
N N,extraction procedures
A N,unique label
A N,emotional input
N,crowdsourcing
N N,models emotion
A N,psychological research
A N,affective information
N N,feature representation
N N,search space
A N,average score
N N,sentence length
N N,activation functions
A N N,deep learning methods
A N,binary string
A,two-level
A N N,Higher readability scores
A N,small datasets
A N N,Emotional language generation
N P A N,presence of a causal relation
N P N N,set of speech signal
A N,single utterance
A N,semantic tasks
A N,emotional profiles
A N,primary effect
N N,annotation process
A N,subsegmental features
A A N,gender-independent male emotions
N P N,distribution of the feature
N N,testing set
A N,baseline results
N N,feature subsets
N P N,characteristics of voice
A N,arbitrary baseline
R,iteratively
N P N,effects of emotion
A N,critical issue
A N,conceivable surrogate
A N,uniform distribution
N P N,amount of individuals
A N,gender-dependent features
A N A N,male emotions female emotions
A A N,probabilistic neural network
A N N,lower activation states
A N,F1 measure
N P N,sets of rankings
N,Farrington
A N,real-time performance
N P A N,result of the automatic evaluation
A N,gender-independent classification
R A N,emotionally relevant responses
N P N,gender of a speaker
N N N,emotion recognition procedure
N,taxonomy
A,Breathy
N,negation
N N N,training error plots
N N N,case frame structure
N N,out-of-domain data
A N,lexical semantics
N N,sentence embeddings
A N,efficient feature
N N,feature streams
A N,similar items
A N,Vocal cues
A N,upper-case word
N P N,sets of scores
N A N,Frequency Cepstral Coefficients
N P N,loss of the model
A N,emotional database
N,human-computer
A N,spontaneous speech
N N,speech samples
R A N,substantially larger number
N N,human-machine dialogue
N V A,differences are significant
N,emoticons
A N,human preference
N N,context information
A N,vectorial emotion
A N N,traditional ECE methods
A N,automatic methods
N N,confusion matrix
A N,valid assignments
